ANO4,PERIODO,AGLOMERADO_NOM,NIVEL_ED_NOMBRE,tasa_actividad,tasa_empleo,tasa_desocupacion
2018,2018T4,Gran San Juan,Primaria completa,46.51854041449076,45.18507570532401,2.866523105164684
2018,2018T4,Gran San Juan,Primaria incompleta,12.275319425395221,12.275319425395221,0.0
2018,2018T4,Gran San Juan,Secundaria completa,58.8380317611453,57.4251028666644,2.401387082791504
2018,2018T4,Gran San Juan,Secundaria incompleta,35.30095375490903,34.49547166786888,2.2817572936769213
2018,2018T4,Gran San Juan,Superior completo,75.02628694154232,73.23877491666481,2.3825143129770994
2018,2018T4,Gran San Juan,Superior incompleto,43.94290503895079,40.11192190119318,8.718092566619916
2018,2018T4,Partidos del GBA,NS/NC,16.227711434647475,16.227711434647475,0.0
2018,2018T4,Partidos del GBA,Primaria completa,44.44995337336332,38.8832393064657,12.523554344678972
2018,2018T4,Partidos del GBA,Primaria incompleta,16.784009110390386,15.517287812159756,7.547191436201304
2018,2018T4,Partidos del GBA,Secundaria completa,70.17496669164606,60.762893998918656,13.412293780038024
2018,2018T4,Partidos del GBA,Secundaria incompleta,39.11247615353561,31.978405591748533,18.239884720625618
2018,2018T4,Partidos del GBA,Superior completo,79.76356387588837,77.42745709828394,2.9287893670842062
2018,2018T4,Partidos del GBA,Superior incompleto,64.46283087281572,58.31085416922666,9.543447937815243
2019,2019T1,Gran San Juan,NS/NC,16.689944134078214,16.689944134078214,0.0
2019,2019T1,Gran San Juan,Primaria completa,45.17684887459807,44.27096215681425,2.0052012044894605
2019,2019T1,Gran San Juan,Primaria incompleta,8.886586435004382,8.886586435004382,0.0
2019,2019T1,Gran San Juan,Secundaria completa,62.08622368260922,59.947365218449555,3.4449807659324234
2019,2019T1,Gran San Juan,Secundaria incompleta,35.30919357491366,34.05789156296255,3.5438419438729962
2019,2019T1,Gran San Juan,Superior completo,70.96943048576215,69.62102177554439,1.8999852485617346
2019,2019T1,Gran San Juan,Superior incompleto,52.42042808029278,51.375180215149165,1.993970487121172
2019,2019T1,Partidos del GBA,NS/NC,25.02151412954995,20.31864170252355,18.79531511433352
2019,2019T1,Partidos del GBA,Primaria completa,48.56348842539537,42.788219115287646,11.89220440574375
2019,2019T1,Partidos del GBA,Primaria incompleta,16.363379392728465,14.410259686703181,11.935918975839465
2019,2019T1,Partidos del GBA,Secundaria completa,68.70823744937414,59.47558616916094,13.43747361736069
2019,2019T1,Partidos del GBA,Secundaria incompleta,38.302203144204135,32.49074532680278,15.172646324081596
2019,2019T1,Partidos del GBA,Superior completo,82.4573791440977,79.16751375920306,3.989776802322894
2019,2019T1,Partidos del GBA,Superior incompleto,68.7843137254902,57.57950479461857,16.28977353119876
2019,2019T2,Gran San Juan,NS/NC,42.99339691856199,42.99339691856199,0.0
2019,2019T2,Gran San Juan,Primaria completa,44.79451184653497,42.787270532935274,4.480998298355077
2019,2019T2,Gran San Juan,Primaria incompleta,12.833512352309345,12.833512352309345,0.0
2019,2019T2,Gran San Juan,Secundaria completa,63.536113009797226,63.031821979190404,0.7937077147433599
2019,2019T2,Gran San Juan,Secundaria incompleta,34.25935786166871,34.1515361269368,0.31472199557057934
2019,2019T2,Gran San Juan,Superior completo,65.97808346934018,63.20354394963861,4.20524418686833
2019,2019T2,Gran San Juan,Superior incompleto,48.764506197205336,48.764506197205336,0.0
2019,2019T2,Partidos del GBA,NS/NC,22.91656317785174,22.674813306177867,1.0549132947976878
2019,2019T2,Partidos del GBA,Primaria completa,47.99957847422276,42.92353167651444,10.575190364295201
2019,2019T2,Partidos del GBA,Primaria incompleta,20.928747788416622,16.00149332602301,23.54299699249416
2019,2019T2,Partidos del GBA,Secundaria completa,70.62095268727401,60.77783331307869,13.93795891961831
2019,2019T2,Partidos del GBA,Secundaria incompleta,37.639331574318376,30.84566402814424,18.049384146899985
2019,2019T2,Partidos del GBA,Superior completo,78.8709490458807,75.95206136467868,3.700840064069795
2019,2019T2,Partidos del GBA,Superior incompleto,68.90134840266965,59.609827801522684,13.485252199776923
2019,2019T3,Gran San Juan,NS/NC,19.54294720252167,19.54294720252167,0.0
2019,2019T3,Gran San Juan,Primaria completa,46.683673469387756,45.09714844842046,3.398457968410809
2019,2019T3,Gran San Juan,Primaria incompleta,14.473051010587104,14.473051010587104,0.0
2019,2019T3,Gran San Juan,Secundaria completa,67.65886842541894,65.83374813339971,2.6975329834714796
2019,2019T3,Gran San Juan,Secundaria incompleta,34.50930000129798,32.528587931414926,5.739647195998044
2019,2019T3,Gran San Juan,Superior completo,68.96296609452946,67.93988331783208,1.4835249042145595
2019,2019T3,Gran San Juan,Superior incompleto,53.91972019564445,52.34035576686613,2.9291035321542593
2019,2019T3,Partidos del GBA,NS/NC,12.54814389904122,12.54814389904122,0.0
2019,2019T3,Partidos del GBA,Primaria completa,45.341716304072435,39.91843882540884,11.960900293879039
2019,2019T3,Partidos del GBA,Primaria incompleta,21.162118576182426,19.586313735315603,7.446347279427705
2019,2019T3,Partidos del GBA,Secundaria completa,68.1123088905722,58.81897684028026,13.644130116367666
2019,2019T3,Partidos del GBA,Secundaria incompleta,38.28636708659297,32.03361246801582,16.331543299564515
2019,2019T3,Partidos del GBA,Superior completo,78.8007216869895,75.53263195994896,4.147284005877487
2019,2019T3,Partidos del GBA,Superior incompleto,67.61106127253991,55.96551022654131,17.224328130356398
2019,2019T4,Gran San Juan,NS/NC,0.0,0.0,
2019,2019T4,Gran San Juan,Primaria completa,44.041606329248054,42.12375940380744,4.354625285697101
2019,2019T4,Gran San Juan,Primaria incompleta,11.685730227367834,11.685730227367834,0.0
2019,2019T4,Gran San Juan,Secundaria completa,68.53594660809327,65.74131959111261,4.077607672016369
2019,2019T4,Gran San Juan,Secundaria incompleta,37.50466801105385,36.51131525879453,2.648610972816887
2019,2019T4,Gran San Juan,Superior completo,75.1323311454584,73.59199661232267,2.0501620402987175
2019,2019T4,Gran San Juan,Superior incompleto,58.48077506969555,56.09870545695438,4.073252466134894
2019,2019T4,Partidos del GBA,NS/NC,24.097840433598247,18.71436996264989,22.340053606805736
2019,2019T4,Partidos del GBA,Primaria completa,43.59925668509145,37.93061819310666,13.001686090495099
2019,2019T4,Partidos del GBA,Primaria incompleta,18.46283001814962,14.69990668008906,20.381075568379682
2019,2019T4,Partidos del GBA,Secundaria completa,67.36190198683346,60.54779907449021,10.115662876732816
2019,2019T4,Partidos del GBA,Secundaria incompleta,42.70393780967874,36.02220373290946,15.64664623330096
2019,2019T4,Partidos del GBA,Superior completo,76.93352787461218,73.79280623359928,4.082383491020608
2019,2019T4,Partidos del GBA,Superior incompleto,68.82453213536725,59.60281027721138,13.398887826826291
2020,2020T1,Gran San Juan,NS/NC,13.972929936305734,13.972929936305734,0.0
2020,2020T1,Gran San Juan,Primaria completa,44.22153355443194,43.73584153391688,1.0983156428015246
2020,2020T1,Gran San Juan,Primaria incompleta,13.498162378884063,13.498162378884063,0.0
2020,2020T1,Gran San Juan,Secundaria completa,62.14984496952849,58.816689832139424,5.363094854095435
2020,2020T1,Gran San Juan,Secundaria incompleta,34.99627699180938,33.250452079566,4.988601823708207
2020,2020T1,Gran San Juan,Superior completo,68.70056691882205,67.2444988196371,2.1194411698311972
2020,2020T1,Gran San Juan,Superior incompleto,54.828725803913336,54.00776373078738,1.4973210868733255
2020,2020T1,Partidos del GBA,NS/NC,26.01737791465024,26.01737791465024,0.0
2020,2020T1,Partidos del GBA,Primaria completa,47.82672383945455,42.05959300241134,12.058385718416346
2020,2020T1,Partidos del GBA,Primaria incompleta,20.91675124067746,19.851398031675682,5.093301520601118
2020,2020T1,Partidos del GBA,Secundaria completa,65.32063938307903,58.1011116595489,11.052444972546164
2020,2020T1,Partidos del GBA,Secundaria incompleta,38.43677392902158,31.131493826973017,19.005965785626803
2020,2020T1,Partidos del GBA,Superior completo,77.93856134890426,73.94214382069877,5.12765113833048
2020,2020T1,Partidos del GBA,Superior incompleto,70.2290645217756,61.28242856573408,12.739221313801604
2020,2020T2,Gran San Juan,NS/NC,17.14828897338403,17.14828897338403,0.0
2020,2020T2,Gran San Juan,Primaria completa,42.07134780116796,40.35348606657682,4.08321060382916
2020,2020T2,Gran San Juan,Primaria incompleta,8.411046537820425,5.4601973239626975,35.08302088912694
2020,2020T2,Gran San Juan,Secundaria completa,58.01724584838169,56.28402080561268,2.9874307499851076
2020,2020T2,Gran San Juan,Secundaria incompleta,31.01329807916634,28.303133991756745,8.738716148445336
2020,2020T2,Gran San Juan,Superior completo,67.00007773833278,66.55178668601486,0.6690903465346535
2020,2020T2,Gran San Juan,Superior incompleto,45.13195383774139,39.95165050220163,11.478127789822727
2020,2020T2,Partidos del GBA,NS/NC,2.699473937920483,0.0,100.0
2020,2020T2,Partidos del GBA,Primaria completa,41.48269940968899,34.07546697010652,17.856196788033483
2020,2020T2,Partidos del GBA,Primaria incompleta,11.948992359502702,7.694983538765984,35.60140213290556
2020,2020T2,Partidos del GBA,Secundaria completa,54.865240959498664,46.537636769686685,15.17828782700395
2020,2020T2,Partidos del GBA,Secundaria incompleta,26.153159745150177,20.493994610318918,21.638552243694726
2020,2020T2,Partidos del GBA,Superior completo,76.25206562745981,73.22530774312831,3.9694110047053277
2020,2020T2,Partidos del GBA,Superior incompleto,53.83467226772623,46.10647801680594,14.355421748435788
2020,2020T3,Gran San Juan,NS/NC,0.0,0.0,
2020,2020T3,Gran San Juan,Primaria completa,40.19903242233916,40.039891359701244,0.395882818685669
2020,2020T3,Gran San Juan,Primaria incompleta,18.53173873045078,15.620975160993561,15.706910246227165
2020,2020T3,Gran San Juan,Secundaria completa,62.986350422578596,59.0243151146449,6.290307791056637
2020,2020T3,Gran San Juan,Secundaria incompleta,37.6880072648845,34.17901129462512,9.310643424569857
2020,2020T3,Gran San Juan,Superior completo,77.21376544725427,72.08445863000246,6.6429953098916235
2020,2020T3,Gran San Juan,Superior incompleto,60.36393811866516,57.17799774761425,5.277886881382561
2020,2020T3,Partidos del GBA,NS/NC,14.73536879109433,14.73536879109433,0.0
2020,2020T3,Partidos del GBA,Primaria completa,38.60617674664197,34.10657332299662,11.655138640571892
2020,2020T3,Partidos del GBA,Primaria incompleta,13.923451590083022,9.683121783039656,30.45458792749019
2020,2020T3,Partidos del GBA,Secundaria completa,59.02690607433281,48.596638481501486,17.67036134283651
2020,2020T3,Partidos del GBA,Secundaria incompleta,29.56793598975175,24.644552517123465,16.651089458306217
2020,2020T3,Partidos del GBA,Superior completo,77.37309125000165,73.99096466845653,4.3711922671113985
